"site","Region","long","lat","MIS_2-1","MIS_3-2","MIS_4-3","MIS_5a-4","MIS_5b-5a","MIS_5c-5b","MIS_5d-5c","MIS_5e-5d","MIS_6-5e"
"Annie",4,-81.350875,27.20731,0.140843634552141,0.137043373304031,0.0670215558291112,NA,NA,NA,NA,NA,NA
"Baldwin",5,-116.806408,34.276446,0.0529434474283974,-0.221933514497884,-0.79595410764442,-0.48321652543784,-0.358493902508421,-0.527773097615196,-0.329118647697456,0.128742709535221,0.745841635263016
"Bear",5,-111.333,41.98435,0.0529434474283974,-0.221933514497884,-0.79595410764442,-0.48321652543784,-0.358493902508421,-0.527773097615196,-0.329118647697456,0.128742709535221,0.745841635263016
"Carp",5,-120.880556,45.918056,0.0529434474283974,-0.221933514497884,-0.79595410764442,-0.48321652543784,-0.358493902508421,-0.527773097615196,-0.329118647697456,0.128742709535221,0.745841635263016
"Cranberry Glades",2,-80.283333,38.2,3.03435094567208,5.71973436194923,0,-1.76550281871762,-1.21453694229399,0,NA,NA,NA
"Cuatro Cienegas",6,-102,26,1.24566552129524,2.88546812821557,3.23710847890495,1.07117500600873,0.662733234837591,0,NA,NA,NA
"Dark",2,-91.475,45.275,3.03435094567208,5.71973436194923,0,-1.76550281871762,-1.21453694229399,0,NA,NA,NA
"Fargher",3,-122.51919,45.886765,0.931332697594787,-1.1768596737871,0,4.60999968010335,NA,NA,NA,NA,NA
"Fog",1,-63.24945,67.182375,-1.54650855469785,2.02270724033438,0,0.302197295305838,1.11849135391666,NA,NA,NA,NA
"Goshen Springs",4,-86.134167,31.721111,0.140843634552141,0.137043373304031,0.0670215558291112,NA,NA,NA,NA,NA,NA
"Grass",3,-122.16715,41.6496,0.931332697594787,-1.1768596737871,0,4.60999968010335,NA,NA,NA,NA,NA
"Grays",5,-111.43795,43.06619,0.0529434474283974,-0.221933514497884,-0.79595410764442,-0.48321652543784,-0.358493902508421,-0.527773097615196,-0.329118647697456,0.128742709535221,0.745841635263016
"Hanging",1,-138.3833333,68.383333,-1.54650855469785,2.02270724033438,0,0.302197295305838,1.11849135391666,NA,NA,NA,NA
"Hansen Marsh",2,-89.670815,43.439585,3.03435094567208,5.71973436194923,0,-1.76550281871762,-1.21453694229399,0,NA,NA,NA
"Hay",5,-109.425,34,0.0529434474283974,-0.221933514497884,-0.79595410764442,-0.48321652543784,-0.358493902508421,-0.527773097615196,-0.329118647697456,0.128742709535221,0.745841635263016
"Joe",1,-157.216667,66.766667,-1.54650855469785,2.02270724033438,0,0.302197295305838,1.11849135391666,NA,NA,NA,NA
"Kalaloch",3,-124.382994,47.634197,0.931332697594787,-1.1768596737871,0,4.60999968010335,NA,NA,NA,NA,NA
"Kilbride Swamp",2,-79.915417,43.464583,3.03435094567208,5.71973436194923,0,-1.76550281871762,-1.21453694229399,0,NA,NA,NA
"Last Canyon",5,-108.394757,45.095634,0.0529434474283974,-0.221933514497884,-0.79595410764442,-0.48321652543784,-0.358493902508421,-0.527773097615196,-0.329118647697456,0.128742709535221,0.745841635263016
"Little",3,-123.583975,44.16658,0.931332697594787,-1.1768596737871,0,4.60999968010335,NA,NA,NA,NA,NA
"Natural Trap",5,-108.1930018,44.973344,0.0529434474283974,-0.221933514497884,-0.79595410764442,-0.48321652543784,-0.358493902508421,-0.527773097615196,-0.329118647697456,0.128742709535221,0.745841635263016
"Patzcuaro",6,-101.583333,19.583333,1.24566552129524,2.88546812821557,3.23710847890495,1.07117500600873,0.662733234837591,0,NA,NA,NA
"Peten-Itza",7,-89.84187,16.96397,0,1.35149311498184,0,-1.76054180516148,3.66057420750921,6.65836801058593,NA,NA,NA
"Ruby Marsh",5,-115.5049,41.13395,0.0529434474283974,-0.221933514497884,-0.79595410764442,-0.48321652543784,-0.358493902508421,-0.527773097615196,-0.329118647697456,0.128742709535221,0.745841635263016
"Star Meadows",5,-114.683705,46.51655,0.0529434474283974,-0.221933514497884,-0.79595410764442,-0.48321652543784,-0.358493902508421,-0.527773097615196,-0.329118647697456,0.128742709535221,0.745841635263016
"Tehuantepec",6,-95.292,15.7133,1.24566552129524,2.88546812821557,3.23710847890495,1.07117500600873,0.662733234837591,0,NA,NA,NA
"Titaluk",1,-155.211533,69.710983,-1.54650855469785,2.02270724033438,0,0.302197295305838,1.11849135391666,NA,NA,NA,NA
"Tulane1",4,-81.503395,27.58613,0.140843634552141,0.137043373304031,0.0670215558291112,NA,NA,NA,NA,NA,NA
"Zagoskin",1,-162.10838,63.44847,-1.54650855469785,2.02270724033438,0,0.302197295305838,1.11849135391666,NA,NA,NA,NA
