"site","Region","long","lat","MIS_1","MIS_2","MIS_3","MIS_4","MIS_5a","MIS_5b","MIS_5c","MIS_5d","MIS_5e","MIS_6"
"Annie",4,-81.350875,27.20731,5.32901080929566,7.20493865796763,8.296326414423,6.616317235818,,,,,,
"Baldwin",5,-116.806408,34.276446,5.0250795931693,4.86922389409409,4.14501595004433,4.23834943452766,4.69636308289374,4.86687057367709,4.69542871956814,4.60774367454081,4.85912849299655,5.12565481939998
"Bear",5,-111.333,41.98435,5.0250795931693,4.86922389409409,4.14501595004433,4.23834943452766,4.69636308289374,4.86687057367709,4.69542871956814,4.60774367454081,4.85912849299655,5.12565481939998
"Carp",5,-120.880556,45.918056,5.0250795931693,4.86922389409409,4.14501595004433,4.23834943452766,4.69636308289374,4.86687057367709,4.69542871956814,4.60774367454081,4.85912849299655,5.12565481939998
"Cranberry Glades",2,-80.283333,38.2,8.42048167267827,5.88220710781461,4.33704457430592,4.15308299713345,5.70515435201646,8.63225384697165,11.0123084124558,,,
"Cuatro Cienegas",6,-102,26,4.57262723105785,3.90440762162906,4.64474105826762,3.52853715738466,4.74805746393126,4.54054572435008,4.16113145630547,,,
"Dark",2,-91.475,45.275,8.42048167267827,5.88220710781461,4.33704457430592,4.15308299713345,5.70515435201646,8.63225384697165,11.0123084124558,,,
"Fargher",3,-122.51919,45.886765,4.66065910559791,6.18464166239117,8.25073390203274,10.1095793967511,9.8373764571683,,,,,
"Fog",1,-63.24945,67.182375,5.36965414139683,5.70667208318223,6.20609532970194,6.88062299519358,7.31549042628316,7.65526218135325,,,,
"Goshen Springs",4,-86.134167,31.721111,5.32901080929566,7.20493865796763,8.296326414423,6.616317235818,,,,,,
"Grass",3,-122.16715,41.6496,4.66065910559791,6.18464166239117,8.25073390203274,10.1095793967511,9.8373764571683,,,,,
"Grays",5,-111.43795,43.06619,5.0250795931693,4.86922389409409,4.14501595004433,4.23834943452766,4.69636308289374,4.86687057367709,4.69542871956814,4.60774367454081,4.85912849299655,5.12565481939998
"Hanging",1,-138.3833333,68.383333,5.36965414139683,5.70667208318223,6.20609532970194,6.88062299519358,7.31549042628316,7.65526218135325,,,,
"Hansen Marsh",2,-89.670815,43.439585,8.42048167267827,5.88220710781461,4.33704457430592,4.15308299713345,5.70515435201646,8.63225384697165,11.0123084124558,,,
"Hay",5,-109.425,34,5.0250795931693,4.86922389409409,4.14501595004433,4.23834943452766,4.69636308289374,4.86687057367709,4.69542871956814,4.60774367454081,4.85912849299655,5.12565481939998
"Joe",1,-157.216667,66.766667,5.36965414139683,5.70667208318223,6.20609532970194,6.88062299519358,7.31549042628316,7.65526218135325,,,,
"Kalaloch",3,-124.382994,47.634197,4.66065910559791,6.18464166239117,8.25073390203274,10.1095793967511,9.8373764571683,,,,,
"Kilbride Swamp",2,-79.915417,43.464583,8.42048167267827,5.88220710781461,4.33704457430592,4.15308299713345,5.70515435201646,8.63225384697165,11.0123084124558,,,
"Last Canyon",5,-108.394757,45.095634,5.0250795931693,4.86922389409409,4.14501595004433,4.23834943452766,4.69636308289374,4.86687057367709,4.69542871956814,4.60774367454081,4.85912849299655,5.12565481939998
"Little",3,-123.583975,44.16658,4.66065910559791,6.18464166239117,8.25073390203274,10.1095793967511,9.8373764571683,,,,,
"Natural Trap",5,-108.1930018,44.973344,5.0250795931693,4.86922389409409,4.14501595004433,4.23834943452766,4.69636308289374,4.86687057367709,4.69542871956814,4.60774367454081,4.85912849299655,5.12565481939998
"Patzcuaro",6,-101.583333,19.583333,4.57262723105785,3.90440762162906,4.64474105826762,3.52853715738466,4.74805746393126,4.54054572435008,4.16113145630547,,,
"Peten-Itza",7,-89.84187,16.96397,14.0168538508081,8.84170028016056,6.88929769151526,6.12083165342488,8.62186463950876,11.3536691702871,13.4727274425109,,,
"Ruby Marsh",5,-115.5049,41.13395,5.0250795931693,4.86922389409409,4.14501595004433,4.23834943452766,4.69636308289374,4.86687057367709,4.69542871956814,4.60774367454081,4.85912849299655,5.12565481939998
"Star Meadows",5,-114.683705,46.51655,5.0250795931693,4.86922389409409,4.14501595004433,4.23834943452766,4.69636308289374,4.86687057367709,4.69542871956814,4.60774367454081,4.85912849299655,5.12565481939998
"Tehuantepec",6,-95.292,15.7133,4.57262723105785,3.90440762162906,4.64474105826762,3.52853715738466,4.74805746393126,4.54054572435008,4.16113145630547,,,
"Titaluk",1,-155.211533,69.710983,5.36965414139683,5.70667208318223,6.20609532970194,6.88062299519358,7.31549042628316,7.65526218135325,,,,
"Tulane1",4,-81.503395,27.58613,5.32901080929566,7.20493865796763,8.296326414423,6.616317235818,,,,,,
"Zagoskin",1,-162.10838,63.44847,5.36965414139683,5.70667208318223,6.20609532970194,6.88062299519358,7.31549042628316,7.65526218135325,,,,
