site,Region,long,lat
Baldwin,4,-116.806408,34.276446
Bear,4,-111.333,41.98435
Carp,4,-120.880556,45.918056
Cuatro Cienegas,5,-102,26
Fargher,2,-122.51919,45.886765
Fog,1,-63.24945,67.182375
Goshen Springs,3,-86.134167,31.721111
Grass,4,-122.16715,41.6496
Grays,4,-111.43795,43.06619
Hanging,1,-138.3833333,68.383333
Hay,4,-109.425,34
Joe,1,-157.216667,66.766667
Kalaloch,2,-124.382994,47.634197
Last Canyon,4,-108.394757,45.095634
Little,2,-123.583975,44.16658
Natural Trap,4,-108.1930018,44.973344
Patzcuaro,5,-101.583333,19.583333
Peten-Itza,6,-89.84187,16.96397
Ruby Marsh,4,-115.5049,41.13395
Star Meadows,4,-114.683705,46.51655
Tehuantepec,5,-95.292,15.7133
Tulane,3,-81.503395,27.58613
Zagoskin,1,-162.10838,63.44847
